id,writer,,title,dateline,day,period,place
171-000,robert-lovelace,,Mr. Lovelace,,1747-05-03,,
172-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Edgeware, Thursday, May 4",1747-05-04,,Edgware
173-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-05-05,,
173-001,william-morden,,,"Florence, April 13.",1747-04-13,,Florence
174-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Night, May 7",1747-05-07,night,
175-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, May 9",1747-05-09,,
176-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday, May 9",1747-05-09,,
177-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Wednesday, May 10",1747-05-10,,
178-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, May 12",1747-05-12,,
179-000,annabella-howe,,"Miss Howe, to Mrs. Judith Norton","Thursday, May 11",1747-05-11,,
180-000,judith-norton,,"Mrs. Norton, to Miss Howe","Saturday, May 13",1747-05-13,,
181-000,annabella-howe,,"Miss Howe, to Mrs. Judith Norton","Saturday Evening, May 13",1747-05-13,evening,
182-000,charlotte-harlowe,,"Mrs. Harlowe, to Mrs. Norton","Saturday, May 13",1747-05-13,,
183-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Sunday, May 14",1747-05-14,,
184-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Monday Afternoon, May 15",1747-05-15,afternoon,
185-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday, May 16",1747-05-16,,
186-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday Night, May 16",1747-05-16,night,
186-001,robert-lovelace,,,,1747-05-16,,
187-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday Morning, May 17",1747-05-17,morning,
188-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday, May 18",1747-05-18,,
189-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Wednesday, May 17",1747-05-17,,
190-000,lord-montague,,"Lord M. to John Belford, Esq.","M. Hall, Monday, May 15",1747-05-15,,M. Hall
191-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday Night, May 19",1747-05-19,night,
191-001,robert-lovelace,,,,1747-05-19,,
192-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Saturday, May 20",1747-05-20,,
193-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Saturday, May 20",1747-05-20,,
194-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-20,,
195-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, May 19",1747-05-19,,
196-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Saturday, May 20",1747-05-20,,
197-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Sat. Sunday, May 20, 21",1747-05-20,,
197-001,antony-harlowe,,,"Monday, May 15.",1747-04-15,,
198-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Sunday, May 21",1747-05-21,,
199-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-21,,
200-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Morning, Seven o’clock",1747-05-21,morning,
201-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday Morning, May 22",1747-05-22,morning,
202-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday Morning, May 23",1747-05-23,morning,
202-001,clarissa-harlowe,,,May 20,1747-05-20,,
203-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, May 23",1747-05-23,,
203-001,charlotte-montague,,,"M. Hall, May 22.",1747-05-22,,
204-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Wednesday, May 24",1747-05-24,,
205-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-24,,
206-000,lord-montague,,"Lord M. to Robert Lovelace, Esq.","Tuesday, May 23",1747-05-23,,
207-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Thursday, May 25",1747-05-25,,
208-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-25,,
209-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-25,,
210-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Friday Evening,1747-05-26,evening,
211-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Cocoa-Tree, Saturday, May 27",1747-05-27,,Cocoa-Tree
212-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Saturday, May 27",1747-05-27,,
213-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sat. Evening,1747-05-27,evening,
214-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Sunday, May 28",1747-05-28,,
215-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sunday Night,1747-05-28,night,
216-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday, May 29",1747-05-29,,
217-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-05-29,,
218-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, May 30",1747-05-30,,
219-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday, June 2",1747-06-02,,
220-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday, June 5",1747-06-05,,
221-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Monday Afternoon,1747-06-05,afternoon,
222-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Tuesday, June 6",1747-06-06,,
223-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday Afternoon, June 6",1747-06-06,afternoon,
224-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Wednesday Night, Eleven o’clock",1747-06-07,night,
225-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Thursday Morning, Five o’clock, (June 8).",1747-06-08,morning,
226-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Thursday Morning, Eight o’clock",1747-06-08,morning,
226-001,clarissa-harlowe,,,,1747-06-08,,
227-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","King’s Arms, Pall-Mall, Thursday, Two o’clock",1747-06-08,afternoon,"King’s Arms, Pall-Mall"
227-001,robert-lovelace,,,,1747-06-08,,
227-002,clarissa-harlowe,,,,1747-06-08,,
227-003,robert-lovelace,,,,1747-06-08,,
227-004,clarissa-harlowe,,,,1747-06-08,,
227-005,robert-lovelace,,,,1747-06-08,,
228-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Thursday Evening, June 8",1747-06-08,evening,
229-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-08,,
229-001,annabella-howe,,,"Wednesday, June 7.",1747-06-07,,
229-002,clarissa-harlowe,,,,1747-06-08,,
230-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday Evening, June 8",1747-06-08,evening,
231-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday Morning, Past Two o’clock",1747-06-09,,
231-001,william-summers,,,,1747-06-08,,
231-002,clarissa-harlowe,,,"Thursday, June 8.",1747-06-08,,
231-003,clarissa-harlowe,,,"Thursday, June 8.",1747-06-08,,
232-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Upper-Flask, Hampstead. Fri. Morn. 7 o’clock. (June 9).",1747-06-09,morning,"Upper-Flask, Hampstead"
233-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Hampstead, Friday Night, June 9",1747-06-09,night,Hampstead
233-001,patrick-mcdonald,,,Wedn. June 7.,1747-06-07,,
233-002,elizabeth-lawrance,,,Wed. Morn. June 7.,1747-06-07,morning,
233-003,charlotte-montague,,,,1747-06-07,,
233-004,lord-montague,,,"M. Hall, Wedn. June 7.",1747-06-07,,M. Hall
234-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-09,,
235-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-09,,
236-000,robert-lovelace,,Mr. Lovelace,,1747-06-09,,
237-000,robert-lovelace,,Mr. Lovelace,,1747-06-09,,
238-000,robert-lovelace,,Mr. Lovelace,,1747-06-09,,
238-001,annabella-howe,,,,1747-06-09,,
239-000,robert-lovelace,,Mr. Lovelace,,1747-06-09,,
239-001,annabella-howe,,,,1747-06-07,,
240-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Saturday, Six o’clock, June 10",1747-06-10,evening,
240-001,clarissa-harlowe,,,"Hampstead, Tues. Even.",1747-06-07,evening,Hampstead
241-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Eight o’clock, Sat. Morn. June 10",1747-06-10,morning,
242-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",From My Apartments at Mrs. Moore’s,1747-06-10,,
243-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Sat Night, June 10",1747-06-10,,
244-000,robert-lovelace,,Mr. Lovelace,,1747-06-10,,
245-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-10,,
246-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sat. Midnight,1747-06-10,night,
247-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sunday Morn. (June 11). Four o’clock,1747-06-11,morning,
248-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sunday Morning,1747-06-11,morning,
249-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-11,,
250-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sunday Afternoon,1747-06-11,afternoon,
251-000,robert-lovelace,,Mr. Lovelace,,1747-06-11,,
252-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-11,,
252-001,annabella-howe,,,"At Mrs. Moore’s, at Hampstead. June 10.",1747-06-10,,Hampstead
253-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sunday Night⁠—Monday Morning,1747-06-11,night,
254-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday, June 12",1747-06-12,,
255-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-12,,
256-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","At Mrs. Sinclair’s, Monday Afternoon",1747-06-12,afternoon,
256-001,elizabeth-lawrance,,,Monday Night.,1747-06-12,night,
257-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday Morning, June 13",1747-06-13,morning,
258-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Watford, Wedn. Jan. 14",1747-01-14,,Watford
259-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Thursday, June 15",1747-06-15,,
260-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-15,,
261-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday, June 16",1747-06-16,,
261-001,clarissa-harlowe,,,,1747-06-15,,
261-002,clarissa-harlowe,,,,1747-06-15,,
261-003,clarissa-harlowe,,,,1747-06-15,,
261-004,clarissa-harlowe,,,,1747-06-15,,
261-005,clarissa-harlowe,,,,1747-06-15,,
261-006,clarissa-harlowe,,,,1747-06-15,,
261-007,clarissa-harlowe,,,,1747-06-15,,
261-008,clarissa-harlowe,,,,1747-06-15,,
261-009,clarissa-harlowe,,,,1747-06-15,,
261-010,clarissa-harlowe,,,,1747-06-15,,
261-011,clarissa-harlowe,,,,1747-06-15,,
262-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Sunday Afternoon, Six o’clock, (June 18).",1747-06-18,afternoon,
263-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sunday Night,1747-06-18,night,
264-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Monday Morn. Five o’clock (June 19).,1747-06-19,morning,
265-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-19,,
266-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Monday Afternoon,1747-06-19,afternoon,
267-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-19,,
268-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-19,,
269-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Tuesday Morn. June 20,1747-06-20,morning,
269-001,clarissa-harlowe,,,"Monday, June 19.",1747-06-19,,
270-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Tues. Morn. Ten o’clock,1747-06-20,morning,
271-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-20,,
272-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday Night, June 20",1747-06-20,night,
272-001,patrick-mcdonald,,,"Monday, June 19.",1747-06-19,,
273-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Wedn. Noon, June 21",1747-06-21,morning,
274-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Wednesday Afternoon,1747-06-21,afternoon,
275-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Wednesday Night,1747-06-21,night,
275-001,annabella-howe,,,"Tuesday, June 20.",1747-06-20,,
276-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Thursday Noon, June 22",1747-06-22,morning,
277-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Thursday Night,1747-06-22,,
278-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","June 23, Friday Morning",1747-06-23,morning,
279-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-23,,
280-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-06-23,,
281-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday Night, or rather Sat. Morn. One o’clock",1747-06-23,night,
282-000,robert-lovelace,,"Mr. Lovelace, to Miss Clarissa Harlowe","M. Hall, Sat. Night, June 24",1747-06-24,night,M. Hall
283-000,robert-lovelace,,"Mr. Lovelace, to Miss Clarissa Harlowe","M. Hall, Sunday Night, June 25",1747-06-25,night,M. Hall
284-000,robert-lovelace,,"Mr. Lovelace, to Miss Clarissa Harlowe","M. Hall, Monday, June 26",1747-06-26,,M. Hall
285-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday, June 26",1747-06-26,,
286-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","London, June 27. Tuesday",1747-06-27,,
287-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","M. Hall, June 27. Tuesday Night, Near 12",1747-06-27,night,M. Hall
288-000,robert-lovelace,,"Mr. Lovelace, to Miss Clarissa Harlowe","M. Hall, Wed. Morning, One o’clock, June 28",1747-06-28,morning,M. Hall
289-000,robert-lovelace,,To Mr. Patrick McDonald,"Westminster M. Hall, Wedn. Morning, Two o’clock",1747-06-28,morning,Westminster M. Hall
290-000,robert-lovelace,,To Captain Tomlinson,"M. Hall, Tuesday Morn., June 27",1747-06-27,morning,M. Hall
291-000,patrick-mcdonald,,"To Robert Lovelace, Esq.","Wedn. June 28, Near Twelve o’clock",1747-06-28,morning,
292-000,richard-mowbray,,"Mr. Mowbray, to Robert Lovelace, Esq.","Wednesday, Twelve o’clock",1747-06-28,morning,
293-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Thursday, June 29",1747-06-29,,
294-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday, June 30",1747-06-30,,
295-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday Night, June 28",1747-06-28,night,
296-000,annabella-howe,,"Mrs. Howe, to Miss Clarissa Harlowe","Friday, June 30",1747-06-30,,
297-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Mrs. Howe","Saturday, July 1",1747-07-01,,
298-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Hannah Burton","Thursday, June 29",1747-06-29,,
299-000,hannah-burton,,Hannah Burton,"Monday, July 3",1747-07-03,,
300-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Mrs. Judith Norton","Thursday, June 29",1747-06-29,,
301-000,judith-norton,,Mrs. Norton,"Saturday, July 1",1747-07-01,,
302-000,clarissa-harlowe,,"Miss Cl. Harlowe, to Lady Betty Lawrance","Thursday, June 29",1747-06-29,,
303-000,elizabeth-lawrance,,"Lady Betty Lawrance, to Miss Cl. Harlowe","Saturday, July 1",1747-07-01,,
304-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Mrs. Hodges Enfield",June 22,1747-06-22,,
305-000,sarah-hodges,,Mrs. Hodges,Sat. July 2,1747-07-02,,
306-000,clarissa-harlowe,,"Miss Cl. Harlowe, to Lady Betty Lawrance","Monday, July 3",1747-07-03,,
307-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Mrs. Norton","Sunday Evening, July 2",1747-07-02,evening,
308-000,judith-norton,,"Mrs. Norton, to Miss Clarissa Harlowe","Monday Night, July 3",1747-07-03,night,
309-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Mrs. Judith Norton","Thursday, July 6",1747-07-06,,
310-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Wednesday, July 5",1747-07-05,,
311-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday, July 6",1747-07-06,,
312-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Thursday Night,1747-07-06,night,
313-000,clarissa-harlowe,,Miss Clarissa Harlowe,,1747-07-06,,
314-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-07-07,,
315-000,clarissa-harlowe,,Miss Clarissa Harlowe,,1747-07-07,,
316-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Sunday, July 9",1747-07-09,,
317-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Monday, July 10",1747-07-10,,
318-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday, July 11",1747-07-11,,
319-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Wed. Night, July 12",1747-07-12,,
320-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday, July 13",1747-07-13,,
321-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday, July 7",1747-07-07,,
322-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Six, Saturday Morning, July 8",1747-07-08,morning,
323-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Sunday Night, July 9",1747-07-09,night,
324-000,robert-lovelace,,Mr. Lovelace,,1747-07-09,,
325-000,robert-lovelace,,Mr. Lovelace,,1747-07-09,,
326-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Wedn. July 12,1747-07-12,,
327-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday Night, July 13",1747-07-13,night,
328-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Sunday Night, July 16",1747-07-16,night,
329-000,annabella-howe,,"Miss Howe, to Miss Charlotte Montague",Tuesday Morn. July 18,1747-07-18,morning,
330-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","M. Hall, Sat. Night, June 15",1747-06-15,night,M. Hall
331-000,charlotte-montague,,"Miss Charlotte Montague, to Miss Howe M. Hall,",Tuesday Afternoon,1747-07-18,afternoon,
332-000,charlotte-montague,,"Miss Montague, to Miss Howe","M. Hall, July 18",1747-07-18,,M. Hall
333-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Sunday Night, July 16",1747-07-16,night,
334-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Monday, July 17",1747-07-17,,
335-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday, July 17, Eleven at Night",1747-07-17,night,
336-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Monday Night, July 17",1747-07-17,,
337-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Tuesday Morn. July 18, Six o’clock",1747-07-18,morning,
338-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Tuesday, July 18. Afternoon",1747-07-18,afternoon,
339-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Tuesday Night, July 18",1747-07-18,,
340-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Wednesday, July 19",1747-07-19,,
341-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","M. Hall, Wed. Night, July 19",1747-07-19,night,M. Hall
342-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe",Thursday Morn. July 20,1747-06-20,morning,
343-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Thursday Afternoon,1747-06-20,afternoon,
344-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Thurday, July 20",1747-07-20,,
345-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.",Thursday Night,1747-06-20,night,
346-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","M. Hall, Friday, July 21",1747-07-21,,M. Hall
