personId,name,given,family,title
betty-barnes,Betty Barnes,Betty,Barnes,
laetitia-beaumont,Laetitia Beaumont,Laetitia,Beaumont,
john-belford,John Belford,John,Belford,
widow-bevis,Widow Bevis,,Bevis,Widow
elias-brand,Elias Brand,Elias,Brand,
hannah-burton,Hannah Burton,Hannah,Burton,
hannah-burton,Hannah Burton,Hannah,Burton,
clarissa-harlowe,Clarissa Harlowe,Clarissa,Harlowe,
james-hawlowe,James Harlowe,James,Harlowe,
arabella-harlowe,Arabella Harlowe,Arabella,Harlowe,
john-harlowe,John Harlowe,John,Harlowe,
antony-harlowe,Antony Harlowe,Antony,Harlowe,
charlotte-harlowe,Mrs. Harlowe,Charlotte,Harlowe,Mrs.
james-harlowe-jr,James Harlowe Jr.,James,Harlowe,
james-harlowe-sr,James Harlowe Sr.,James,Harlowe,
dorothy-hervey,Dorothy Hervey,Dorothy,Hervey,
dolly-hervey,Dolly Hervey,Dolly,Hervey,
charles-hickman,Charles Hickman,Charles,Hickman,
sarah-hodges,Sarah Hodges,Sarah,Hodges,
polly-horton,Polly Horton,Polly,Horton,
annabella-howe,Anabella Howe,Annabella,Howe,
mrs-howe,Mrs. Howe,,Howe,Mrs.
elizabeth-lawrance,Elizabeth Lawrance,Elizabeth,Lawrance,
joseph-leman,Joseph Leman,Joseph,Leman,
arthur-lewen,Arthur Lewen,Arthur,Lewen,
robert-lovelace,Robert Lovelace,Robert,Lovelace,
mrs-lovelace,Mrs. Lovelace,,Lovelace,Mrs.
mrs-lovick,Mrs. Lovlick,,Lovlick,Mrs.
harriot-lucas,Harriot Lucas,Harriot,Lucas,
sally-martin,Sally Martin,Sally,Martin,
patrick-mcdonald,Patrick McDonald,Patrick,McDonald,
lord-montague,Lord Montague,,Montague,Lord
charlotte-montague,Charlotte Montague,Charlotte,Montague,Lady
betty-montague,Betty Montague,Betty,Montague,Lady
patty-montague,Patty Montague,Patty,Montague,
mrs-moore,Mrs. Moore,,Moore,Mrs.
william-morden,William Morden,William,Morden,Colonel
richard-mowbray,Richard Mowbray,Richard,Mowbray,
judith-norton,Judith Norton,Judith,Norton,
mrs-sinclair,Mrs. Sinclair,,Sinclair,Mrs.
mrs-smith,Mrs. Smith,,Smith,Mrs.
roger-solmes,Roger Solmes,Roger,Solmes,
william-summers,William Summers,William,Summers,
antony-tomnlinson,Antony Tomlinson,Antony,Tomlinson,Captain
john-walton,John Walkton,John,Walkton,
alex-wyerley,Alex Wyerley,Alex,Wyerley,
dorcas-wykes,Dorcas Wykes,Dorcas,Wykes,